KF_Time;KF_States;KF_Covariance;
1525176484000482910;0.0991508276191894 0.0701061730452517  0.429340483417649                  0                  0                  0   2.79132995158321  -2.54765416600331  -4.72158481607616;   0.310740371066167    0.310740371066167    0.325971794983793 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0279333483545137   0.0279333483545137    0.907528978155862;
1525176484100321784; 0.117999743046394 0.0146202767519051   0.40802028743929                  0                  0                  0   2.79132995158321  -2.54765416600331  -4.72158481607616;   0.351740382166045    0.351740382166045    0.366971806083672 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0280333483519875   0.0280333483519875    0.917528977932345;
1525176484200565268;  0.129032383775769 -0.0233432162733862     0.3850173799428                   0                   0                   0    2.79132995158321   -2.54765416600331   -4.72158481607616;   0.392740393347572    0.392740393347572    0.407971817265199 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0281333483494613   0.0281333483494613    0.927528977708827;
1525176484300257603;  0.140004441932114 -0.0610982436969116    0.36214078629605                   0                   0                   0    2.79132995158321   -2.54765416600331   -4.72158481607616;    0.43374040441904     0.43374040441904    0.448971828336666 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.028233348346935    0.028233348346935     0.93752897748531;
1525176484402799229;   0.0789627567867206   0.00376501408600942     0.334149685323236 -3.99804809892215e-12 -1.24945246859504e-13                     0      2.78750036853861     -2.54302849670543     -4.73951644816272;   0.434592304095213    0.434592304095213    0.479668886725957 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0282093126727802   0.0282093126727802    0.907608154251973;
1525176484500331322;  0.0848175279620107 -0.00296959226580464    0.318097927270302                    0                    0                    0     2.78750036853861    -2.54302849670543    -4.73951644816272;   0.475592315165251    0.475592315165251    0.520668897795995 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.028309312670254    0.028309312670254    0.917608154028456;
1525176484600527131; 0.0968294161134501 0.00348769597891796   0.300975997061866                   0                   0                   0    2.78750036853861   -2.54302849670543   -4.73951644816272;   0.516592326337256    0.516592326337256       0.561668908968 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0284093126677278   0.0284093126677278    0.927608153804938;
1525176484700366037; 0.112856333702063 0.0170205428533771  0.283587915020883                  0                  0                  0   2.78750036853861  -2.54302849670543  -4.73951644816272;   0.557592337437375    0.557592337437375    0.602668920068119 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0285093126652016   0.0285093126652016    0.937608153581421;
1525176484802650566;   0.0441730566117886      0.11986465975588      0.25620303039156 -3.99804809892215e-12 -1.24945246859504e-13                     0      2.78403251297827     -2.53937555255848     -4.75445947380978;    0.53646209854353     0.53646209854353    0.626813876607239 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0285052913539551   0.0285052913539551    0.909601345951754;
1525176484900328724;0.0618730944420137  0.137696971018472   0.24346310489475                  0                  0                  0   2.78403251297827  -2.53937555255848  -4.75445947380978;   0.577462109648407    0.577462109648407    0.667813887712116 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0286052913514289   0.0286052913514289    0.919601345728237;
