KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525075867099583561; -0.107507627531725 -0.0232832562692564                  -0; 1.79354472609219 -1.22037372121634 -0.93326859885174;
1525075868098968042;-0.0488671034235114 -0.0105832983042075                  -0; 1.87143964384774 -1.28176112586057  -1.7033473752528;
1525075868499088834;-0.0488671034235114 -0.0105832983042075                  -0; 1.73779203832705 -1.20358266173892 -2.11926012756105;
1525075868899797308;-0.0488671034235114 -0.0105832983042075                  -0; 1.51531069633237 -1.20914004023164 -2.60765835829043;
1525075869498986620;-0.0488671034235114 -0.0105832983042075                  -0;1.47066267260347 -1.2259006444285 -3.0128010833465;
1525075869899449644;-0.0488671034235114 -0.0105832983042075                  -0; 1.43685929373284 -1.24825191709094 -3.49642419500622;
1525075870299586911;-0.0488671034235114 -0.0105832983042075                  -0; 1.42570525078192 -1.28736924916963 -3.95249550366217;
1525075870699201984;-0.0488671034235114 -0.0105832983042075                  -0;  1.4144778267526 -1.31528201802012 -4.43461510932878;
1525075871299639499;-0.0488671034235114 -0.0105832983042075                  -0; 1.43633918667743 -1.29854970481414 -4.78831615964748;
1525075871699617144;-0.0488671034235114 -0.0105832983042075                  -0; 1.49178476001113 -1.34321050633844 -5.14570855120395;
1525075872298964557;-0.0488671034235114 -0.0105832983042075                  -0; 1.61440546285502 -1.42692606965265 -5.41452328548477;
1525075872698853371;0.0256500720199709  -0.01555872119971                  0; 1.62565184831658 -1.39904250733275 -5.58242303702153;
1525075873098940772;0.0256500720199709  -0.01555872119971                  0; 1.60352340309147  -1.2649553195384 -5.63004527987142;
1525075873498957467;0.0256500720199709  -0.01555872119971                  0; 1.60383298343118 -1.21475923981053  -5.7616648511053;
1525075874099027590;0.0256500720199709  -0.01555872119971                  0; 1.55938282847115 -1.21480550030907 -5.77656698807603;
1525075874499109119;0.0256500720199709  -0.01555872119971                  0; 1.50380693866724 -1.22601038636752 -5.80442704074856;
1525075874898989042;0.0256500720199709  -0.01555872119971                  0;  1.3591006109744 -1.17581156059873 -5.76032225552471;
1525075875498870577;0.0256500720199709  -0.01555872119971                  0; 1.28129203055019 -1.19257854091264 -6.40905869131721;
