aruco_time;aruco_pos; aruco_orient; lp_pose_time; lp_pos; lp_orient; lp_pose_covariance;lp_vel_time; lp_linear_vel; lp_angular_vel; lp_covariance; uav_pos_time; uav_position; uav_pos_covariance;uav_orient_time; uav_orientation; uav_orient_covariance 
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208682882996082;-16.9795731772754 0.843202466783348  29.4050789004429;  2.77953967912865   3.06202537904717 -0.434821166820545;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208682882996082;-0.00989850775563046  0.00142110668555307                    0; -0.00182882370427251 -0.000393575988709927   0.00183538673445582;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210025177342547; 0.0891320322101554  -0.027920611065371 -0.0600013766558462;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210025260782415; 3.13175114370503  3.06896875102432 0.601553640852608;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208683346728086;-16.9127239047326 0.832034179194851  29.6170781368904;  2.78276212958882   3.06404152530232 -0.434766848426992;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208683346728086;-0.00989850775563046  0.00142110668555307                    0;-0.00386981433257461 -0.00662101525813341 -0.00249958643689752;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210025422780999;  0.111415039594405  -0.044672977652681 -0.0800021711260853;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210025474792448; 3.12405564567082  3.07587076728668 0.600109022659244;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208683346728086;-16.9127239047326 0.832034179194851  29.6170781368904;  2.78276212958882   3.06404152530232 -0.434766848426992;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208683346728086;-0.00989850775563046  0.00142110668555307                    0;-0.00386981433257461 -0.00662101525813341 -0.00249958643689752;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210025657523296;  0.133698047058452 -0.0502570995390674 -0.0700024512208186;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210025611315961; 3.12016849460416   3.0744188378073 0.600012373565618;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208683803416967;-16.8013090441663 0.854370624518919   29.746078761278;  2.77961804503283   3.05851011541286 -0.439024369618191;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208683803416967;-0.00989850775563046  0.00142110668555307                    0;   0.011388118378818  0.00572721567004919 -0.00050300359725952;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210025787594992;  0.133698047058452 -0.0502570995390674 -0.0700024512208186;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210025852843809; 3.13381159502457  3.07196590959457 0.602275678737754;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208683803416967;-16.8013090441663 0.854370624518919   29.746078761278;  2.77961804503283   3.05851011541286 -0.439024369618191;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208683803416967;-0.00989850775563046  0.00142110668555307                    0;   0.011388118378818  0.00572721567004919 -0.00050300359725952;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210026059329374;  0.133698047154548 -0.0502570996203629 -0.0800024501452276;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210026018262545; 3.13398003557722  3.06870303239569 0.602386215257663;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208684267631053;-16.6787526723272 0.899043547446487  29.8960803789639;  2.79819875140135   3.05970817744301 -0.451513328678064;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208684267631053;-0.00989850775563046  0.00142110668555307                    0; 0.0494920834898949  0.0562844313681126 -0.0738660842180252;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210026147841469;  0.133698047154548 -0.0502570996203629 -0.0800024501452276;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210026228510716; 3.13561608659825  3.06590541886111 0.603019671976348;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208684267631053;-16.6787526723272 0.899043547446487  29.8960803789639;  2.79819875140135   3.05970817744301 -0.451513328678064;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208684267631053;-0.00989850775563046  0.00142110668555307                    0; 0.0494920834898949  0.0562844313681126 -0.0738660842180252;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210026470528129;  0.122556543088566 -0.0390888553240183 -0.0800019257167599;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210026418953592; 3.13867925553178  3.05981916417191 0.603493970266288;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208684267631053;-16.6787526723272 0.899043547446487  29.8960803789639;  2.79819875140135   3.05970817744301 -0.451513328678064;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208684267631053;-0.00989850775563046  0.00142110668555307                    0; 0.0494920834898949  0.0562844313681126 -0.0738660842180252;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210026552102002; 0.111415039719696 -0.033504733209859 -0.080001656891079;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210026611042644;  3.1377252712632  3.05388442662869 0.602013321756656;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208684735769033;-16.3890746236533  1.18383362987287  29.9870924966704;  2.81187249131607   3.02900306610271 -0.496253535228548;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208684735769033;-0.00989850775563046  0.00142110668555307                    0; 0.0296073984354735   0.123082928359509 -0.0963981226086617;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210026836217176;  0.111415040074016 -0.0167523667161684 -0.0900008854980131;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210026760814502;3.14015159328015  3.0539312399071 0.60264820646208;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208684735769033;-16.3890746236533  1.18383362987287  29.9870924966704;  2.81187249131607   3.02900306610271 -0.496253535228548;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208684735769033;-0.00989850775563046  0.00142110668555307                    0; 0.0296073984354735   0.123082928359509 -0.0963981226086617;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210026979814360;   0.100273535580184 -0.00558412215834756   -0.100000359221088;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210027056931508;-3.13696645839374  3.05200285915816 0.604057495746337;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
