KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1524643687668753826;-1.4303833315371 2.37210950945795                0;-5.25634630881038  6.08263025398743  30.6438133488236;
1524643688268812521;-1.4303833315371 2.37210950945795                0;-6.19569020080076  6.39672039841682  31.2714593094897;
1524643688668567330;-1.4303833315371 2.37210950945795                0;-7.1179228821715 6.56750673752955 31.5109497984445;
1524643689068539162;-1.4303833315371 2.37210950945795                0;-7.85292966128669  6.67597722458378  31.7183615662632;
1524643689668618992;-1.4303833315371 2.37210950945795                0;-8.27698180491582  6.97381150057269   31.827547232698;
1524643690069152086;-1.4303833315371 2.37210950945795                0;-8.39834295120053   7.0268929835008  31.8559596762764;
1524643690468685203;-1.4303833315371 2.37210950945795                0;-8.40696045385813  7.07442490432438  31.8514279451608;
1524643691069003505;-1.4303833315371 2.37210950945795                0;-8.23894440846944  6.95312646805559  31.9023458365829;
1524643691469650369;-0.128370361310778   1.56474312599127                  0;-8.09711269802194  7.27469152255029  32.0103395286519;
1524643691868696457;-0.128370361310778   1.56474312599127                  0;-7.94909708408787  8.09714807221782  32.0580740836574;
1524643692469103517;-0.128370361310778   1.56474312599127                  0;-7.80636117544898  8.92490197963809  32.5793082602165;
1524643692868838636;-0.128370361310778   1.56474312599127                  0;-7.62440363839865  9.98285904375031  33.8119477265774;
1524643693268970198;-0.128370361310778   1.56474312599127                  0;-7.39367837929952   10.939814625477  34.8795668512638;
1524643693869287004;-0.128370361310778   1.56474312599127                  0;-7.09971406843625  11.6905676415894  35.2794503269161;
1524643694268790003;-0.128370361310778   1.56474312599127                  0;-6.78491793852706  12.6091268016895  35.4527160489411;
1524643695269150604;-0.128370361310778   1.56474312599127                  0;-6.17135869796975   14.871298236004  35.1756732101871;
1524643695668981808;-0.128370361310778   1.56474312599127                  0;-6.18931879599378  16.5172724220346  35.0542638158928;
1524643696068905634; 1.38875143058401 0.963052160607551                 0;-6.16153763462241  17.7866948553695   34.914266006671;
1524643696669108261; 1.38875143058401 0.963052160607551                 0;-6.22132920924328  18.4834128308853  34.8934484322022;
1524643697068713494; 1.38875143058401 0.963052160607551                 0;-7.14850376784954  18.3827687614892   34.928320717267;
1524643698468556307; 1.38875143058401 0.963052160607551                 0;-6.10130545139062  17.0577694516706  34.6212423780946;
1524643698469072830; 1.38875143058401 0.963052160607551                 0;-6.11491364620774   17.033513551055  34.6217829025654;
1524643698469619045; 1.38875143058401 0.963052160607551                 0;-6.1142691761891 17.0164817333111 34.6218609835065;
