KF_Time;KF_States;KF_Covariance;
1524643691668344960;  -8.8751326745691   9.97109888601321   15.6264000726753 -0.956083162739908   2.07646591261043 0.0301626154074462 -0.271227894761444  -1.42433721529275   16.7457625431758; 0.668972352126588  0.668972352126588   1.37529553302156  0.243497516689413  0.243497516689413  0.258549553104748 0.0801008845419118 0.0801008845419118  0.266985708015756;
1524643691869110280;   -8.80308400277258     10.4274895725807     16.6610675723977   -0.668340026055431     1.88437040837242 -0.00648064179617302   -0.272591971008987     -1.4236538786808     16.7349029371854; 0.652803132019461  0.652803132019461   1.38769619538668   0.24532466894719   0.24532466894719  0.259285689218746 0.0800998930856427 0.0800998930856427  0.267198841170017;
1524643692068207531;   -8.80308400277258     10.4274895725807     16.6610675723977   -0.668340026055431     1.88437040837242 -0.00648064179617302   -0.272591971008987     -1.4236538786808     16.7349029371854; 0.652803132019461  0.652803132019461   1.38769619538668   0.24532466894719   0.24532466894719  0.259285689218746 0.0800998930856427 0.0800998930856427  0.267198841170017;
1524643692268324833;   -8.80308400277258     10.4274895725807     16.6610675723977   -0.668340026055431     1.88437040837242 -0.00648064179617302   -0.272591971008987     -1.4236538786808     16.7349029371854; 0.652803132019461  0.652803132019461   1.38769619538668   0.24532466894719   0.24532466894719  0.259285689218746 0.0800998930856427 0.0800998930856427  0.267198841170017;
1524643692469970085;  -8.73230032817793    11.1715291669528    17.6274748399425  -0.435556741408162    1.73766558642246 -0.0473424936680782   -0.27342894584507   -1.42318560860763    16.7221751520173;0.698005089355975 0.698005089355975   1.4883550967065 0.242969759140503 0.242969759140503 0.258530954807414 0.080103935773324 0.080103935773324 0.267611622976256;
1524643692668229344;  -8.73230032817793    11.1715291669528    17.6274748399425  -0.435556741408162    1.73766558642246 -0.0473424936680782   -0.27342894584507   -1.42318560860763    16.7221751520173;0.698005089355975 0.698005089355975   1.4883550967065 0.242969759140503 0.242969759140503 0.258530954807414 0.080103935773324 0.080103935773324 0.267611622976256;
1524643692869389553;  -8.52762244644363    11.6971380804963    17.6708877081553  -0.273300632497789    1.67276042453446 -0.0477036996863859  -0.273863851363746   -1.42292476257358    16.7182371495787; 0.674979901005654  0.674979901005654   1.48457467372724  0.243985326796007  0.243985326796007  0.258934820707729 0.0801105739195956 0.0801105739195956  0.268155961992648;
1524643693068233023;  -8.52762244644363    11.6971380804963    17.6708877081553  -0.273300632497789    1.67276042453446 -0.0477036996863859  -0.273863851363746   -1.42292476257358    16.7182371495787; 0.674979901005654  0.674979901005654   1.48457467372724  0.243985326796007  0.243985326796007  0.258934820707729 0.0801105739195956 0.0801105739195956  0.268155961992648;
1524643693269555751;  -8.39772920860687    12.4072529085872    17.6295695491328  -0.150018333406797    1.64210362308936 -0.0239085636949545  -0.274135703586507   -1.42279361147259    16.7208675055893; 0.656756106939243  0.656756106939243   1.47920779163014  0.245636992747858  0.245636992747858  0.259629915810929 0.0801186833108341 0.0801186833108341  0.268802815334262;
1524643693468303067;  -8.39772920860687    12.4072529085872    17.6295695491328  -0.150018333406797    1.64210362308936 -0.0239085636949545  -0.274135703586507   -1.42279361147259    16.7208675055893; 0.656756106939243  0.656756106939243   1.47920779163014  0.245636992747858  0.245636992747858  0.259629915810929 0.0801186833108341 0.0801186833108341  0.268802815334262;
1524643693668258124;  -8.39772920860687    12.4072529085872    17.6295695491328  -0.150018333406797    1.64210362308936 -0.0239085636949545  -0.274135703586507   -1.42279361147259    16.7208675055893; 0.656756106939243  0.656756106939243   1.47920779163014  0.245636992747858  0.245636992747858  0.259629915810929 0.0801186833108341 0.0801186833108341  0.268802815334262;
