KF_Time;KF_States;KF_Covariance;
1527252282438675419;   4.61284047830414   0.422908924992673    14.9573010073665    2.51921279508238   0.243375934821551 0.00605286408471005    7.29332548830125    1.03323483767104    42.0370985470098; 0.103733144132407  0.103733196622056  0.121246028278099 0.0527616877033043  0.052761753538115 0.0565832140083657  0.026104074121381  0.026104083528363  0.358226663902611;
1527252282540046539;   4.68435054793831   0.438466600269238    14.9592351567568    2.51850292710012   0.243796875473705 0.00421077781458008    7.29878151249309    1.03403951389493    42.0387204059374; 0.103563231205897  0.103563285195879  0.124601070779673 0.0514179592936456 0.0514179939571999 0.0534952434608406 0.0261457194014409 0.0261457287426752  0.354680738498049;
1527252282641116713;   4.73565018748193   0.450562275059233    14.9609286938803    2.51805560929668     0.2438447485732 0.00370939895096745    7.30177616730828     1.0344277786527    42.0394667648497; 0.105523123803709  0.105523179066384  0.128372489783361 0.0527579253353526 0.0527579909114159 0.0565398688888612 0.0262183377950348 0.0262183471042123  0.358017283641191;
1527252282732091032;   4.79099112598297   0.460434074079895     14.960176844922     2.5182815938959   0.247419516335043 0.00168787232270402    7.30444908538218     1.0347357074097    42.0403873654556; 0.107392535332131  0.107392591764029  0.132108401106605 0.0527616875435809 0.0527617533783702 0.0565832067230611 0.0262919158355571 0.0262919251132877  0.361281267249456;
1527252282833507297;   4.86395655518025   0.470180836137353    14.9581154925681    2.51736482468457   0.246843002734517 0.00108667733071481    7.30732533644508    1.03505113395984    42.0413100671282; 0.109185582426668   0.10918564019478  0.135836463865294 0.0527616978608874 0.0527617636968522 0.0565837938988691 0.0263664320421559 0.0263664412890592  0.364477861977626;
1527252282934743452;     4.96697044812937     0.481560073370061       14.955982236208      2.51808346823977     0.251432054625099 -0.000553643382894598      7.31248399999733      1.03557636206386      42.0435960915747; 0.108602706827862  0.108602765999911  0.139055943265148 0.0514179593012459 0.0514179939648015 0.0534952456760315 0.0264186740307938 0.0264186832178591  0.361119757906755;
1527252283036104684;    5.04190060669271    0.490071722569157     14.9535537889501     2.51529375738153    0.252097273192755 -0.00126996161807454     7.31475357838272     1.03579934230377     42.0449566927278; 0.110369787091317  0.110369847482213  0.142762300452321 0.0527579253354461 0.0527579909115094 0.0565398689225821 0.0264962749608709 0.0264962841189657  0.364551134796187;
1527252283137171597;   5.11562838266193   0.497033843317593    14.9513593459347    2.51947027629881   0.253023654678114 -0.0012246334715862    7.31626371730913    1.03597040154607    42.0463459400769; 0.112057621827439  0.112057683465281   0.14644753208049 0.0527616875432798 0.0527617533780691 0.0565832067211489  0.026574648057234 0.0265746571870252  0.367911270365597;
1527252283238342060;    5.21522130432353    0.503969317961909     14.9491768805828     2.52496554856289    0.250022426631191 -0.00146603642210784     7.31945917676128     1.03629882562302     42.0492443610094; 0.111272024709118  0.111272087101507  0.149583617765707 0.0514115193537447 0.0514115536947434  0.053483880384333 0.0266340347773118 0.0266340438484311  0.364848800245644;
1527252283339556424;     5.29279284463555     0.506749535211641      14.9416585326906      2.53601944557566     0.245727561737428 -0.000562220721444459      7.32028649225659      1.03639565562957      42.0507430255467; 0.112973474745385  0.112973538473974  0.153256659639346 0.0528542690613849 0.0528543096678562 0.0566958921372087 0.0267151895589299  0.026715198607689  0.368488327201842;
1527252283440915293;    5.37940975688425    0.509131748123886     14.9362414283025     2.53520535056495    0.246609382389117 0.000144568605172923     7.32174668219461     1.03660428956964     42.0539260701644; 0.112216121961588  0.112216187511663  0.156370996142542 0.0514690267482159 0.0514690482362008 0.0535850761658528 0.0267797499385952 0.0267797589435425  0.365957270304774;
1527252283532076804;    5.4373650008689   0.508008803374503    14.9338045945474    2.53219944037033    0.24652743017031 0.00163940543605803    7.32139331863789    1.03664511124554    42.0557863647218; 0.113895306755626  0.113895373418985  0.160013013006358 0.0528544461251553  0.052854486696895 0.0566974756174257 0.0268630683747789 0.0268630773583334  0.369775245236178;
1527252283633456870;   5.50649756001071   0.507235782222924    14.9312779950678    2.53608292301868   0.246470368781782 0.00376281207748763    7.32135322377468    1.03672766030978    42.0576760690995; 0.115503443297667   0.11550351119631   0.16364870497005 0.0528586016420877 0.0528586423844368 0.0567437454178392 0.0269469037744997 0.0269469127370574  0.373509857833359;
1527252283734557664;   5.55185543292892   0.504174783406375    14.9228047094883    2.53577933177125   0.248702371414349 0.00728049313402507    7.31979147170679    1.03681415617343    42.0614303120174;  0.11457071678345  0.114570786292078  0.166685767390358 0.0514690300931403 0.0514690515813228 0.0535852673270101 0.0270164737126517 0.0270164826343394   0.37116247614381;
1527252283835800419;  5.60859181082578   0.50113921591114   14.9141015292479   2.53591627491044  0.250865631788392 0.0104314637850743   7.31912531761822   1.03688440013994   42.0634413491106; 0.116173765513602  0.116173836116452  0.170304858506709 0.0528544461355046 0.0528544867072451 0.0566974786027466 0.0271021334037298 0.0271021423055773  0.375069178460763;
1527252283936833277;  5.65231533984441  0.496278876476495   14.9086827049901   2.53685926634637  0.252698604550682 0.0102720189418856   7.31781363934245    1.0369276666605   42.0656178509795; 0.117702093954391  0.117702165684088  0.173903391777746 0.0528586016287121 0.0528586423710604 0.0567437453659308 0.0271882162514775  0.027188225133915  0.378891439802656;
1527252284038068798;  5.67674450642253  0.491156763875377   14.9097427997726   2.54053717478306  0.253696829615043 0.0120547139667844   7.31547900149047   1.03707140657859    42.070269675393;  0.11662089196392  0.116620965097083  0.176869672724487 0.0514690300930168 0.0514690515811993  0.053585267322233 0.0272619821514603 0.0272619909963014  0.376713077248221;
1527252284139647242;   5.71105288423116   0.485066636108135    14.9109329905958    2.53669956257956   0.255918338233095 0.00992686168132833    7.31431156088842    1.03715941804198    42.0726173509212; 0.118154830810139   0.11815490493997  0.180455173978342 0.0528544461354526 0.0528544867071932 0.0566974786019523 0.0273496012515554  0.027349610078225  0.380701295031938;
1527252284240984337;   5.73367956433083   0.478389379256487    14.9123888997286     2.5386310767659   0.256274923654976 0.00805033981910856    7.31276865031517    1.03725464162354    42.0747231715691; 0.119604019926989   0.11960409483186  0.184017120123488 0.0528168499974232 0.0528168901781849 0.0566760586347238 0.0274375120845038 0.0274375208922311     0.384579839723;
