SM_Time;Status;
1455210098139074334;0;
1455210098240085577;0;
1455210098341034524;0;
1455210098442067949;0;
1455210098543156312;0;
1455210098634128036;0;
1455210098735172629;0;
1455210098836403546;0;
1455210098937403065;0;
1455210099038599777;0;
1455210099139590742;0;
1455210099249138382;0;
1455210099340013141;0;
1455210099441115078;0;
1455210099542171685;0;
1455210099643370892;0;
1455210099734316158;0;
1455210099835289188;0;
1455210099936470164;1;
1455210100037644408;1;
1455210100138526338;1;
1455210100239568511;1;
1455210100340594281;1;
1455210100441659381;1;
1455210100542773160;1;
1455210100633859326;1;
1455210100734941982;1;
1455210100835888736;1;
1455210100936888496;1;
1455210101038028640;1;
1455210101139132643;1;
1455210101240233626;1;
1455210101341259394;1;
1455210101442402824;1;
1455210101543347917;1;
1455210101634149644;1;
1455210101735098084;1;
1455210101836026517;1;
1455210101937117561;1;
1455210102038370137;1;
1455210102139334322;1;
1455210102240426921;1;
1455210102341642966;1;
1455210102442642372;1;
1455210102533722989;1;
1455210102634815158;1;
1455210102735977006;1;
1455210102837313853;1;
1455210102938459036;1;
1455210103039660869;1;
1455210103140620049;1;
1455210103241713914;1;
1455210103342710928;1;
1455210103433552510;1;
1455210103534668470;1;
1455210103635554301;1;
1455210103736616281;1;
1455210103837807623;1;
1455210103938946289;1;
1455210104040263679;1;
1455210104141244374;1;
1455210104242278806;1;
1455210104343353999;1;
1455210104434278199;1;
1455210104535310568;1;
1455210104636141166;1;
1455210104737089601;1;
1455210104838242060;1;
1455210104939331319;1;
1455210105040379504;1;
1455210105141355122;1;
1455210105242470667;1;
1455210105338173684;1;
1455210105439247208;1;
1455210105540144661;1;
1455210105640315783;1;
1455210105741471791;1;
1455210105842606189;1;
1455210105935187490;1;
1455210106036216979;1;
1455210106137259930;2;
1455210106238278667;3;
1455210106339161461;3;
1455210106440173138;3;
1455210106541046359;3;
1455210106642121991;3;
1455210106743490712;3;
1455210106834502773;3;
1455210106935430277;3;
1455210107036463952;3;
1455210107137508207;3;
1455210107238581971;3;
1455210107339545240;3;
1455210107440852329;3;
1455210107542033728;3;
1455210107643066533;3;
1455210107734105347;3;
1455210107835278210;3;
1455210107936220440;3;
1455210108037324124;3;
1455210108138411776;3;
1455210108239329981;3;
1455210108340495667;3;
1455210108441857136;3;
