KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527250336142860889;   1.40245411276041  0.0206447640977584 0.00503940606101298;  33.6744495082407 -0.146276957754429   58.9550576864753;
1527250336222859859;   1.40566992488649  0.0227506842555214 0.00806107331482878;  33.7634338295989 -0.141807796813957   58.9555976536877;
1527250336312868834;   1.40855887037064  0.0234940743468541 0.00997264931249244;  33.8789469456488 -0.139250882188056   58.9456283914554;
1527250336362875938;  1.40819204753657  0.025922594602443 0.0117743381580651;  33.9486992799317 -0.136107421610435   58.9461876316132;
1527250336442881823;  1.42131789614227 0.0172550979542542 0.0126011635923353; 34.0652789000795 -0.13706831958808   58.948645211071;
1527250336492883921;  1.42139388234759 0.0173761283007266 0.0124368524625647;  34.1357460492643 -0.134335101124579   58.9492736845267;
1527250336582888842;  1.42473593499315 0.0157800493362312 0.0134889095864979;  34.2518257691486 -0.129718035109975   58.9504299504286;
1527250336632890940;  1.42490082429632 0.0157253378067246  0.012992987369693;  34.3226705001713 -0.127330863182559   58.9510530857609;
1527250336722904921;  1.42786846023241 0.0155973266103893  0.011817868596372;  34.4507565887798 -0.123678213482517   58.9521112510295;
1527250336772909880;   1.43091913351135  0.0146215464720806 0.00977171822238331;  34.5222092057803 -0.122167228621369    58.952662549088;
1527250336862911940;  1.43379124900928   0.01178464898368 0.0088167354610674;   34.650960086897 -0.120082420174436   58.9535295643666;
1527250336912912846;  1.43331402546152  0.010647662845709 0.0073912244774038;  34.7226733837589 -0.119361635869379   58.9539564112847;
1527250336992919922;   1.44024001321536 0.00847511532614066 0.00645966493373635;  34.8488876472137 -0.118910623516925   58.9445412410205;
1527250337082927942;   1.44376504133657 0.00815310401371506 0.00413726296768269;  34.9787921777948 -0.119204509612836   58.9550528637689;
1527250337132932901;   1.44397860706626 0.00987210104581952 0.00241229356185245;  35.0512150694039 -0.119735804602917   58.9552727966215;
1527250337222939014;    1.4487887142513 0.00818734099058851 0.00125551652608958;  35.1818956664538 -0.126855222633559   58.9555409763417;
1527250337272944927;      1.451025786623  0.00656739805768944 0.000831854452738513;  35.2572421711419 -0.129569670400126   58.9559998835486;
1527250337362949848;     1.45323080427019    0.0072858756027603 -0.000863877113852808;  35.3440680581609 -0.137221866207862   58.9459688504667;
1527250337412955999;    1.46399408536043  0.00131980380831862 -0.00410252442316889;  35.2823175223596 -0.161536948896106   58.9426935523349;
1527250337502964973;    1.46676097769031 0.000859953397166828  -0.0070911487609748;  35.4148474148752 -0.164337952392499   58.9422612136185;
1527250337582972050;    1.46499049884651  0.00355196456297084 -0.00904996110650772;  35.3099916254221 -0.177941227886288   58.9216703797244;
1527250337642971039;   1.46734613190911 0.00490155249214938 -0.0118036725487663;   35.398479753593 -0.179499743353905   58.9211183861271;
1527250337732977867;   1.46904808111906 0.00816813273519815 -0.0127632714710462;  35.2195573279255 -0.192756211201659   58.9201079461281;
1527250337782986879;   1.47204896218451 0.00686879077962613 -0.0129817285642662;   34.981523423566 -0.216240562101643   58.9194775897249;
1527250337862988949;   1.47175483531144  0.0121645160428268 -0.0147144552017762;  35.0998689620033 -0.216947198046659   58.9184211493875;
1527250337922998905;   1.47161823659678  0.0122354078984109 -0.0132137524387813;  34.7763770736681 -0.245371659005314   58.9175921287853;
1527250337993001938;  1.47566082680826 0.0160255248863335 -0.014117210823368;  34.8799180190703 -0.245126371288739   58.9166188485936;
1527250338083003998;   1.47834755567688  0.0174664666080072 -0.0125117922189373;  34.4671470785634 -0.317555961086711   58.9054298663367;
1527250338133010864;   1.47682012811688  0.0189607159258781 -0.0105754807339975;  34.5411375631079 -0.316319587397836   58.9048414628707;
1527250338223016024;    1.47758805034469   0.0225239574447189 -0.00737170104691951;  34.1728817135894 -0.398574141170065   58.9039509891999;
1527250338273021936;    1.48159172183879   0.0233095449467664 -0.00653010977324566;  33.7579810311036 -0.506408653881083   58.9028993027127;
1527250338353031874;     1.4808893751137   0.0242046347842321 -0.00145132438122049;  33.8761909132095 -0.502798358449682   58.9025507163516;
1527250338443037033;   1.49037552886769  0.0171546511558842 0.00215746527999591;  33.5070775068483 -0.629531634627003   58.9131710653007;
1527250338493036032;   1.49171385131937  0.0171675199984757 0.00517945253175292;  33.5812499922783 -0.627247341267169    58.913354328038;
1527250338583047867;   1.4922824362321 0.0181163651946939  0.010918250384782;  33.2914835927642 -0.725124979961594     58.91406276393;
1527250338633047819;  1.49414094194548 0.0194260047880767 0.0134980732086121;  33.3656565074963 -0.722706277899026   58.9146602604777;
1527250338713059902;  1.49318955524757 0.0163681641935843 0.0174983240452619;  32.9829372926228 -0.832366735418211    58.905922740421;
1527250338803064823;  1.49476558069409 0.0159989662286799 0.0218862889232505;  32.6151742644555 -0.924781579866086   58.9077355136733;
1527250338863066912;  1.49522162270736 0.0166779602784537 0.0245314764486122;  32.7040849918331 -0.922320330600505   58.9091308229447;
1527250338943078041;  1.49893095213274 0.0138621994057837 0.0260056596459616;  32.4107477559001 -0.993213318489434   58.9211149014926;
1527250338993080854;  1.50025837120492 0.0150097356200414 0.0260372706927928;  31.983914610834 -1.05401527357999  58.9123933099217;
1527250339073084831;  1.50157629338366  0.010716239424468 0.0247052270414084; 32.1033337399812 -1.05197986808606  58.9143425409411;
1527250339123090029;  1.50348575940528 0.0127401139617538 0.0227560291886211; 31.6881098691389 -1.10208401386286  58.9154905305951;
1527250339203092813;   1.5061740686152 0.0107423607665944  0.018046958985981; 31.3961140707876 -1.12947643084383   58.917081376795;
1527250339293102026;  1.50840683170475 0.0119444709488772 0.0127261660516888; 31.533439697615 -1.1309699052812 58.9186321824301;
1527250339343104839;   1.50948470119938  0.0122767218235563 0.00774969423233689; 31.1192193077929 -1.14824269715426  58.9091429607751;
1527250339433111906;   1.52083706008255 0.00436746491964134 0.00056763205464273;  31.259271461568 -1.16188648817637  58.9073667846564;
1527250339483112812;   1.52306415116885 0.00403348792844319 -0.0040690396854423; 30.7790678600202 -1.17426020122434  58.8972920002994;
1527250339563118935;   1.52303735900057 0.00586455359777403 -0.0104193435829656; 30.5793566315141 -1.17622825042573   58.906765789914;
1527250339653131962;   1.52451939843809 0.00728619997426831 -0.0160507068005341; 30.7185061285871 -1.17845835337647  58.9056339629913;
1527250339703135967;   1.52700057596974  0.0102676768183982 -0.0191269327777492;  30.305822401614 -1.17399879204171  58.9048065185047;
1527250339793143034;   1.52889984158687  0.0124201003312305 -0.0219181043593083; 30.4453334932053 -1.17597648233684  58.9030453888291;
