KF_ArUco_Time;KF_ArUco_pos_NED;
1525871123562315206;  -0.16261572959015 -0.0270085351258553    12.3218365097396;
1525871123895623206;-0.0980790457391688 -0.0500244916499619    12.4422815273057;
1525871124228931306;-0.12975780952731 -0.11725135725419  11.9340140039979;
1525871124562239406;-0.193229231546674  0.319443874700618   11.6896824785448;
1525871124895547506;0.112720156400336 0.108087033719413  11.5570471438435;
1525871125228855606;-0.0846597098022107   0.197535395023488    11.3211279375313;
1525871125228855606;-0.0846597098022107   0.197535395023488    11.3211279375313;
1525871125562163606;-0.0651989129141217  -0.239732708484604    11.2075299747087;
1525871125895471706; -0.29135735981002 -0.658111377194419   10.8927688980618;
1525871126228779806; -0.28913950605969 -0.276946520100164   10.9366408514101;
1525871126562087906;-0.244845677496327 -0.455941435801929   10.4813912922884;
1525871126895396006; 0.173537586697814 0.0840989506727017   10.4880829023239;
1525871127228704006; 0.0696858280625557 -0.0185102989016258     10.082199700667;
1525871127562012106;0.00833363209764426  -0.103172117830231     9.8228834686927;
1525871127895320206; 0.0992104800204869 -0.0129228266310993    9.64287687871103;
1525871128228628306; 0.39388777958566 0.150882976171653  9.38042038330502;
1525871128561936406;-0.000269218913594688    -0.435850976803643      9.19383456704869;
1525871128895244406;-0.464411452191017 -0.312082793035796   8.98326640508422;
1525871129228552506;-0.399410287884122 -0.377040963523846   8.78882466278342;
1525871129561860606;-0.0933716526955368  -0.543027424683105    9.18127553275797;
1525871129895168706; 0.261002636823989 -0.284342094306439   8.36621553699735;
1525871130228476806; 0.214048141930897 -0.416379057590881   8.80204153925747;
1525871130561784907; 0.482516057945125 -0.305252907477568   8.00173416057186;
1525871131561709106;0.214024708344835 0.150329078870867  7.44157299846864;
1525871131561709106;0.214024708344835 0.150329078870867  7.44157299846864;
1525871131895017206; 0.158123119759468 0.0513492515377989   7.85316466065239;
1525871132228325307; 0.074277786093581 0.0262966384871691   7.70174797288573;
1525871132561633406; 0.344109248368234 0.0574785009321817   7.56307266213281;
1525871132894941407;   0.32566337935683 0.00221734056653769     7.4641374493466;
1525871133228249506;   0.223274606860925 -0.00921818549778874     6.76939430769533;
1525871133561557606; -0.0411265764172055 -0.00556380663426961     6.55870823946639;
1525871133894865706;0.0780292456230867  0.290868252180637   6.76067605447094;
1525871134228173807;0.0537992933677037  0.164624536977028   6.54032718489022;
1525871134561481806;0.0460521824956776  0.201583226804437   6.31838680604027;
1525871134894789907;0.0986763429568605 0.0189567700340962   6.09891622513628;
1525871135561406106;-0.116808419789995 -0.331236571646001   5.68465506005159;
1525871135894714206;-0.0497993231653925  -0.245992747832714    5.42942828733414;
1525871136228022206;-0.0922542917615936  -0.480350443504475    5.42390542989822;
1525871136561330307;0.0510693786602689 -0.576578055419484    5.0239965972083;
1525871136894638406; 0.074891794245256 -0.637688182710225   5.01963507312587;
1525871137227946506; 0.101198372429018 -0.633573687171265   4.83991616777034;
1525871137561254606; 0.181917425922298 -0.485033716664113   4.52943520095698;
1525871137894562707; 0.225305916157398 -0.356451357293633   4.50049606999124;
1525871138227870806; 0.155550968491666 -0.254939970586614    4.2849738049494;
1525871138561178807; 0.154606198930763 -0.142082144395045     4.120299734704;
1525871138894486906; 0.123816728614303 0.0349881158424922   3.97029593129835;
1525871139227795006;0.109974580970182 0.177373832648683  3.80155074224049;
1525871139561103106;0.127132755289068 0.261290971448591   3.6196597449544;
1525871139894411207;0.101941124531031 0.309616055560402  3.44227343111672;
1525871140227719206;0.118746051927008 0.317278363673404  3.28840766635263;
