KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525871097487948935;-0.0564670213997084 -0.0202848587435278                  -0;-16950.0323679845  9890.18705471108  50.1103086593694;
1525871097953840058;-0.0564670213997084 -0.0202848587435278                  -0;-16950.064185243  9890.2580296197 50.1269675288586;
1525871098439256947;-0.0564670213997084 -0.0202848587435278                  -0;-16950.1039672892  9890.29140574638  50.1686032115003;
1525871098872989934;-0.0564670213997084 -0.0202848587435278                  -0;-16950.1659111462  9890.24358828266  50.2040169709761;
1525871099337946932;-0.0564670213997084 -0.0202848587435278                  -0;-16950.1770352905  9890.24773942216  50.1960381161725;
1525871099801873009;-0.0564670213997084 -0.0202848587435278                  -0;-16950.0976385925  9890.30007119692  50.1987446074108;
1525871100272718947;-0.0564670213997084 -0.0202848587435278                  -0;-16950.0322343373  9890.32170000215  50.1980460075459;
1525871100736063998;-0.0564670213997084 -0.0202848587435278                  -0;-16950.0522841777  9890.29045515302  50.1900740277642;
1525871101201051991;-0.0282335106998542 -0.0101424293717639                  -0;-16950.0991738906  9890.22685317818  50.1640708245759;
1525871101663940947;-0.0282335106998542 -0.0101424293717639                  -0;-16950.1103927832  9890.16547312512  50.1350678060895;
1525871102122278969;-0.0282335106998542 -0.0101424293717639                  -0;-16950.1494681097  9890.09554710794   50.151137793825;
1525871102586170952;-0.0282335106998542 -0.0101424293717639                  -0;-16950.1884001852  9890.05250261259  50.1437119962484;
1525871103048626940;-0.0282335106998542 -0.0101424293717639                  -0;-16950.2106277663  9890.02865872125  50.1800604821401;
1525871103517664950;-0.0282335106998542 -0.0101424293717639                  -0;-16950.2216981142  9889.95323327621  50.2681281549925;
1525871103986543934;-0.0282335106998542 -0.0101424293717639                  -0;-16950.1671709541  9889.89239143168  50.3021250647712;
1525871104448086064;-0.0282335106998542 -0.0101424293717639                  -0;-16950.0990051235  9889.88335408427    50.33495231301;
1525871104914847891;-0.0282335106998542 -0.0101424293717639                  -0;-16950.0432264068  9889.88602890546  50.3349518879851;
1525871105405776064;-0.0282335106998542 -0.0101424293717639                  -0;-16949.9808512905  9889.89941839409  50.3368600041313;
1525871105830991070;-0.00941117023328473 -0.00338080979058797                   -0;-16949.9220502259  9889.89638261467  50.3321142372806;
1525871106299388926;-0.00941117023328473 -0.00338080979058797                   -0;-16949.4863489733  9890.38099342603  50.2451756728506;
1525871106767222922;-0.00941117023328473 -0.00338080979058797                   -0;-16948.4244159327  9891.72356230039  50.2283706796979;
1525871107222693007;-0.00941117023328473 -0.00338080979058797                   -0;-16946.9151192682  9893.78965385189  50.1709550349287;
1525871107695625107;-0.00941117023328473 -0.00338080979058797                   -0;-16945.397161672 9895.81613830001 50.0800429213413;
1525871108159117978;-0.00941117023328473 -0.00338080979058797                   -0;-16943.9601797349  9897.65226705087  49.9566891720751;
1525871108614678900;-0.00941117023328473 -0.00338080979058797                   -0;-16942.6557219925  9899.26443406771  49.8228530295473;
1525871109083759110;-0.00941117023328473 -0.00338080979058797                   -0;-16941.2788898714  9900.87871426463  49.6915623752175;
1525871109550539057;-0.00941117023328473 -0.00338080979058797                   -0;-16939.9410734231  9902.42923909251  49.5646639148754;
1525871110006723921;-0.00941117023328473 -0.00338080979058797                   -0;-16938.6410600552   9903.8248642726  49.4625297248367;
1525871110475152056;-0.0658781916329931 -0.0236656685341158                  -0;-16937.2976025058  9905.32420568246  49.3620070858451;
1525871110942766945;-0.0658781916329931 -0.0236656685341158                  -0;-16936.0561885063  9906.77815105871    49.26559714413;
1525871111409565013;-0.0658781916329931 -0.0236656685341158                  -0;-16934.7743513457  9908.18105793887   49.194857221567;
1525871111867100995;-0.0658781916329931 -0.0236656685341158                  -0;-16933.6097586978  9909.39124053215  49.1069742564507;
1525871112335847895;-0.0658781916329931 -0.0236656685341158                  -0;-16932.3218738644  9910.78205285644  49.0327606910932;
1525871112790380995;-0.0658781916329931 -0.0236656685341158                  -0;-16931.1695246769  9912.03797198364  48.9671003033028;
1525871113259326975;-0.0658781916329931 -0.0236656685341158                  -0;-16929.8134209622  9913.52033349529  48.8917651761576;
1525871113726604025;-0.0658781916329931 -0.0236656685341158                  -0;-16928.5560110203  9914.95223403173   48.805827724831;
1525871114187892954;-0.0658781916329931 -0.0236656685341158                  -0;-16927.5591594382   9916.2090825022  48.7593121294959;
1525871114652459900;-0.0658781916329931 -0.0236656685341158                  -0;-16926.4258664326  9917.68892816554    48.67506859682;
1525871115109483044;-0.0376446809331389 -0.0135232391623519                  -0;-16925.4642694129  9918.93955658313  48.6874371575365;
1525871115574684899;-0.0376446809331389 -0.0135232391623519                  -0;-16924.3336023885   9920.1710727749  48.7718084828248;
1525871116044971030;-0.0376446809331389 -0.0135232391623519                  -0;-16923.3698915049    9920.972322596  48.8506634059739;
1525871116510491889;-0.0376446809331389 -0.0135232391623519                  -0;-16922.2447249532  9921.59792652934  48.9398721521483;
1525871116974906962;-0.0376446809331389 -0.0135232391623519                  -0;-16921.4537950574  9921.91282231256  48.9876606148136;
1525871117439610045;-0.0376446809331389 -0.0135232391623519                  -0;-16921.1642843007  9922.00051129871  48.9912449934812;
1525871117902246993;-0.0376446809331389 -0.0135232391623519                  -0;-16921.5725502396  9921.60765695084   48.930940296771;
1525871118358676951;-0.0376446809331389 -0.0135232391623519                  -0;-16922.3899378005  9920.81113192483  48.7900581514172;
1525871118826469939;-0.0376446809331389 -0.0135232391623519                  -0;-16923.3926808181  9919.90649301345  48.6049044782316;
1525871119290683072;-0.0376446809331389 -0.0135232391623519                  -0;-16923.8375405154  9919.48616672717  48.3755684347052;
1525871119755282920; -0.122345213032701 -0.0439505272776436                  -0;-16923.7031633204  9919.54811239702  48.1592714777507;
1525871120221571009; -0.122345213032701 -0.0439505272776436                  -0;-16923.5599601838  9919.73192900901  47.9391230914925;
1525871120677739899; -0.122345213032701 -0.0439505272776436                  -0;-16923.6529784497  9919.77260327116  47.6832417388287;
1525871121145515959; -0.122345213032701 -0.0439505272776436                  -0;-16923.9502231648  9919.76153282839  47.3936011347301;
1525871122068302910; -0.122345213032701 -0.0439505272776436                  -0;-16924.4991926115  9919.61645618443  46.8700804869895;
1525871122534190934; -0.122345213032701 -0.0439505272776436                  -0;-16924.5248265135  9919.39421500619  46.6002879982971;
1525871123001688044; -0.122345213032701 -0.0439505272776436                  -0;-16924.3845503936  9919.26181748315  46.3531153129297;
1525871123470332902; -0.122345213032701 -0.0439505272776436                  -0;-16924.2625550419  9919.26476042893  46.0827552682157;
1525871124404234927; -0.0188223404665695 -0.00676161958117594                   -0;-16924.2677162451  9919.40614322097  45.4834249560072;
1525871124862628977; -0.0188223404665695 -0.00676161958117594                   -0;-16924.3182910194  9919.48654722755  45.2087646856626;
1525871125786884110; -0.0188223404665695 -0.00676161958117594                   -0;-16924.3614816108  9919.39402795492  44.6800101804547;
1525871126255723994; -0.0188223404665695 -0.00676161958117594                   -0;-16924.4132909323  9919.18295830886  44.4062984264474;
1525871126709317010; -0.0188223404665695 -0.00676161958117594                   -0;-16924.4074203147  9919.09731536749  44.1495641020574;
1525871127177825015; -0.0188223404665695 -0.00676161958117594                   -0;-16924.3220166616  9919.17443374319  43.8880595880837;
1525871127645581048; -0.0188223404665695 -0.00676161958117594                   -0;-16924.2156168239  9919.32330154051  43.6029550087715;
1525871128101598065; -0.0188223404665695 -0.00676161958117594                   -0;-16924.1535246928  9919.45603268889  43.3056083165511;
1525871128569612067; -0.0188223404665695 -0.00676161958117594                   -0;-16924.1500272676  9919.49985548055  43.0295324985482;
1525871129037200968; -0.103522872566132 -0.0371889076964677                  -0;-16924.2783803428  9919.43473784864  42.7341698976588;
1525871129493254941; -0.103522872566132 -0.0371889076964677                  -0;-16924.3982514182  9919.32011310419  42.4566698904682;
1525871129963130992; -0.103522872566132 -0.0371889076964677                  -0;-16924.3759422608  9919.24635574405   42.186660884654;
1525871130439882081; -0.103522872566132 -0.0371889076964677                  -0;-16924.2292002848  9919.23661914171  41.9437977410411;
1525871130893104117; -0.103522872566132 -0.0371889076964677                  -0;-16924.1239281683  9919.27364278979  41.7020519985899;
1525871131358619969; -0.103522872566132 -0.0371889076964677                  -0;-16924.1346052067  9919.33501285193  41.4772144335329;
1525871131813611071; -0.103522872566132 -0.0371889076964677                  -0;-16924.2023463896  9919.52043210037  41.2682475322217;
1525871132282691996; -0.103522872566132 -0.0371889076964677                  -0;-16924.3454774804  9919.61450421605  41.0809095284385;
1525871132738529008; -0.103522872566132 -0.0371889076964677                  -0;-16924.3624620475  9919.64399663395  40.9133187268835;
1525871133206462901; -0.103522872566132 -0.0371889076964677                  -0;-16924.3755352584  9919.63179396728  40.7389896892746;
1525871133673591893;-0.00941117023328473 -0.00338080979058797                   -0;-16924.449437228  9919.6159685213 40.5253860233042;
1525871134131797116;-0.00941117023328473 -0.00338080979058797                   -0;-16924.5566239267  9919.66767217663  40.3055919867456;
1525871134595845978;-0.00941117023328473 -0.00338080979058797                   -0;-16924.6330451535  9919.69400841619  40.0996713629347;
1525871135065264981;-0.00941117023328473 -0.00338080979058797                   -0;-16924.6516484431  9919.64374313166  39.8480420655805;
1525871135532657902;-0.00941117023328473 -0.00338080979058797                   -0;-16924.6118449566  9919.51503760401  39.5942255958125;
1525871135995851081;-0.00941117023328473 -0.00338080979058797                   -0;-16924.6596605814  9919.38295334461   39.352756320106;
1525871136456958096;-0.00941117023328473 -0.00338080979058797                   -0;-16924.6901104978  9919.26572895343  39.1070417981518;
1525871136924290936;-0.00941117023328473 -0.00338080979058797                   -0;-16924.617881267 9919.16326928718 38.8598553218314;
1525871137404290955;-0.00941117023328473 -0.00338080979058797                   -0;-16924.5399626337  9919.14646021089  38.6123774082625;
1525871137843870919;-0.00941117023328473 -0.00338080979058797                   -0;-16924.469101815 9919.23446535149 38.3894533069206;
