KF_Time;KF_States;KF_Covariance;
1455208270777821519; -0.271114986091713   0.374675085291203     6.3588320137179                   0                   0                   0  0.0677781411614973 -0.0386078220227423  -0.140871899758642;  0.0940571682949775   0.0940571682949775   0.0835615292736912 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396668744081247   0.0396668744081247    0.835834009511573;
1455208270878935971; -0.215130829461899   0.394528263814066    6.30574377320796                   0                   0                   0  0.0677781411614973 -0.0386078220227423  -0.140871899758642;  0.0981571783072815   0.0981571783072815   0.0876615392859953 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0397668744055985   0.0397668744055985    0.845834009288056;
1455208270979857471; -0.121803705787238   0.406341136937295    6.26313795397695                   0                   0                   0  0.0817288472262378 -0.0414746598511366  -0.107089229639754;   0.102749210979503    0.102749210979503   0.0952717459800306 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0394692798617714   0.0394692798617714    0.802556718780124;
1455208271080743679;-0.0718688007730116   0.423252500388575    6.21613730027317                   0                   0                   0  0.0817288472262378 -0.0414746598511366  -0.107089229639754;   0.106849220330374    0.106849220330374   0.0993717553309018 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395692798592452   0.0395692798592452    0.812556718556606;
1455208271181718990;  -0.01728772433767   0.431375978627367    6.16064125820339                   0                   0                   0  0.0817288472262378 -0.0414746598511366  -0.107089229639754;   0.110949230373691    0.110949230373691    0.103471765374219 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396692798567189   0.0396692798567189    0.822556718333089;
1455208271282852514; 0.0370670958451113   0.439465782415889    6.10537526521527                   0                   0                   0  0.0817288472262378 -0.0414746598511366  -0.107089229639754;   0.115049240334081    0.115049240334081    0.107571775334609 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0397692798541927   0.0397692798541927    0.832556718109572;
1455208271383764030;-0.0355646203979697   0.442754953764085    6.03718237491655                   0                   0                   0   0.103860780662709 -0.0447654235193048  -0.074713245427303;  0.0772697886498249   0.0772697886498249   0.0662464690167088 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0394023137816662   0.0394023137816662    0.789983508262529;
1455208271484862501;  0.012129783607888   0.427716387007469    5.98119587332684                   0                   0                   0   0.103860780662709 -0.0447654235193048  -0.074713245427303;  0.0813697975978801   0.0813697975978801   0.0703464779647641 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07     0.03950231377914     0.03950231377914    0.799983508039012;
1455208271586001124; 0.0584402852945886   0.398306462079017    5.92328525167043                   0                   0                   0   0.103860780662709 -0.0447654235193048  -0.074713245427303;  0.0854698076283859   0.0854698076283859   0.0744464879952699 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396023137766138   0.0396023137766138    0.809983507815494;
1455208271676964370;  0.101311714006282   0.360789508674243    5.86260815159663                   0                   0                   0   0.103860780662709 -0.0447654235193048  -0.074713245427303;  0.0895698187473542   0.0895698187473542   0.0785464991142382 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0397023137740876   0.0397023137740876    0.819983507591977;
